"t","price","sales"
1,15,237
2,15,263
3,15,265
4,15,265
5,15,327
6,15,392
7,15,300
8,15,261
9,15,288
10,15,300
11,15,271
12,15,371
13,15,355
14,15,287
15,15,271
16,15,287
17,12,345
18,12,413
19,12,426
20,12,577
21,12,347
22,12,369
23,12,368
24,12,283
25,12,328
26,12,479
27,12,590
28,12,333
29,12,336
30,12,364
31,12,338
32,12,367
33,12,1196
34,12,505
35,12,300
36,12,334
37,12,308
38,12,256
39,12,354
40,12,446
41,12,462
42,12,330
43,12,306
44,12,299
45,12,351
46,12,315
47,12,379
48,12,445
49,12,297
50,12,365
51,12,285
52,12,318
53,12,310
54,12,360
55,12,471
56,12,368
57,12,337
58,19,124
59,19,160
60,19,186
61,19,205
62,19,274
63,10,464
64,10,497
65,10,390
66,10,433
67,10,464
68,10,593
69,10,732
70,10,516
71,10,463
72,10,454
73,10,463
74,10,465
75,10,592
76,10,770
77,10,572
78,10,410
79,10,412
80,10,476
81,10,537
82,10,701
83,10,780
84,10,479
85,10,525
86,10,494
87,10,495
88,17,285
89,17,356
90,17,476
91,17,263
92,17,1773
93,17,256
94,17,279
95,17,311
96,17,349
97,17,454
98,17,220
99,17,212
100,17,205
101,17,261
102,17,287
103,17,310
104,17,384
105,17,236
106,17,331
107,17,348
108,17,243
109,17,332
110,17,343
111,17,410
112,17,287
113,17,313
114,17,320
115,17,298
116,17,273
117,17,358
118,17,488
119,17,304
120,17,319
121,10,650
122,10,625
123,10,609
124,10,653
125,10,1004
126,10,632
127,10,674
128,10,580
129,10,605
130,10,610
131,10,865
132,10,964
133,10,784
134,11,556
135,11,546
136,19,265
137,19,304
138,19,381
139,19,458
140,19,1282
141,19,240
142,19,282
143,19,281
144,19,303
145,19,379
146,14,794
147,14,477
148,14,444
149,14,530
150,12,635
151,12,637
152,12,757
153,12,787
154,12,634
155,12,606
156,12,637
157,12,528
158,12,594
159,12,802
160,16,661
161,16,473
162,16,454
163,16,346
164,16,369
165,16,445
166,16,538
167,16,687
168,16,379
169,19,338
170,19,326
171,19,274
172,19,357
173,19,419
174,19,550
175,19,344
176,19,338
177,19,322
178,19,333
179,19,377
180,19,408
181,19,555
182,19,340
183,19,392
184,19,266
185,19,390
186,19,419
187,19,420
188,19,540
189,19,380
190,19,374
191,19,356
192,17,471
193,14,713
194,10,1123
195,10,1430
196,10,900
197,10,947
198,10,995
199,10,944
200,13,765
